0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
7.61717, 0, -1.5688, -3.14139, 1.57077, 0.00183114, -1.57086, 3.14156, 1.57249, -0.000313531, -1.57083, -3.14005, 1.57024, -2.60838e-05, -1.56942, 3.14081, 1.57078, 0.00119255, -1.57179, 3.14159, 1.57179
7.91014, 0, 2.62844, -1.02597, 1.60278, -2.053, 0.571301, -3.09413, -0.491685, 2.06335, -1.98356, -1.41108, 0.939698, -2.77709, -0.174374, 2.43485, -1.24957, 1.31768, -2.45455, -1.08119e-13, 2.45455
8.20311, 0, 2.61512, -1.05215, 1.56468, -2.10077, 0.518273, 3.13983, -0.514486, 2.17718, 1.48783, -2.13913, 0.487909, 3.11006, -0.552609, 2.06723, -1.59618, 1.02482, -2.63289, -1.7783e-13, 2.63289
8.49608, 0, 2.60957, -1.06721, 1.53267, -2.16313, 0.397442, 2.88241, -1.29279, -0.230293, 1.94944, -1.84796, 0.698425, -3.02175, -0.458041, 2.09372, -1.67782, 0.585191, 0.891129, -3.14159, -0.891129
8.78904, 0, 2.62959, -1.02421, 1.60588, -2.04452, 0.592314, -3.04902, -0.401795, 2.25012, -1.37831, 1.27654, -2.35487, 0.29044, 2.92532, -0.738935, 1.85593, -1.86672, 0.652952, -3.14159, -0.652952
9.08201, 0, 2.61226, -1.06544, 1.52931, -2.17552, 0.373993, 2.86702, -1.05358, 0.995403, 2.81683, -1.31123, 1.07808, -2.73072, -0.227449, 2.28046, -1.50405, 0.978353, -2.80167, -1.20785e-12, 2.80167
9.37498, 0, 2.60987, -1.07181, 1.51883, -2.18635, 0.374025, 2.90986, -0.873557, 1.56901, -2.36637, -0.161519, 1.92343, -2.23495, 0.0142609, 2.35468, -1.53083, 0.928637, -2.77224, -5.78559e-13, 2.77224
9.66795, 0, 2.62083, -1.04059, 1.58423, -2.06779, 0.575611, -3.03808, -0.301519, 2.67371, 0.118061, -2.85346, -0.0447501, 2.63645, -1.01673, 1.57663, -2.16004, 0.295146, 2.50954, -3.14159, -2.50954
9.96092, 0, 2.64593, -0.992313, 1.65406, -1.97781, 0.679983, -2.93655, -0.260521, 2.41141, -1.23432, 1.36076, -2.33855, 0.256517, 2.86367, -0.807559, 1.7984, -1.90098, 0.641293, -3.14159, -0.641293
10.2539, 0, 2.62238, -1.04133, 1.5764, -2.08754, 0.537023, -3.10139, -0.370192, 3.00491, 0.671912, -2.88044, -0.417187, 1.85385, -2.31114, -0.151393, 2.1501, -1.73865, 0.695516, -3.14159, -0.695516
10.5469, 0, 2.63217, -1.0162, 1.62665, -1.99633, 0.692668, -2.85727, -0.0721048, 2.73403, -0.789924, 1.88231, -1.80426, 0.747799, -3.00192, -0.474019, 2.04786, -1.73313, 0.727096, -3.14159, -0.727096
10.8398, 0, 2.62964, -1.0268, 1.59748, -2.06308, 0.556377, -3.11115, -0.499348, 2.11043, 1.42494, -2.19168, 0.326567, 2.68845, -1.8376, -0.272218, 1.99332, -1.84457, 0.643459, -3.14159, -0.643459
11.1328, 0, 2.61521, -1.05858, 1.54138, -2.15927, 0.381826, 2.79838, -1.656, -0.22905, 2.05929, -1.7357, 0.788602, -3.00693, -0.850488, -0.195112, 2.02965, -1.79982, 0.673389, -3.14159, -0.673389
11.4258, 0, 2.61567, -1.05596, 1.54799, -2.14554, 0.417722, 2.93621, -0.890207, 1.53835, -2.23138, 0.42847, -3.10464, -0.343305, 2.39272, -1.18386, 1.49794, -2.12493, 0.515453, -3.14159, -0.515453
11.7187, 0, 2.61421, -1.06091, 1.53858, -2.15904, 0.399434, 2.90431, -1.00031, 1.0758, 2.94393, -1.13597, 1.33489, -2.1199, 2.83634, -0.729618, 1.85645, -1.87928, 0.640026, -3.14159, -0.640026
12.0117, 0, 2.61703, -1.0561, 1.54557, -2.1469, 0.426239, 2.97638, -0.785968, 1.7023, -2.1136, 0.367838, 2.91414, -0.716397, 2.04748, -1.41554, 1.37771, -2.17714, 0.496472, -3.14159, -0.496472
12.3047, 0, 2.61999, -1.04474, 1.57242, -2.09523, 0.517285, 3.12602, -0.552517, 2.05106, -1.61644, 1.02435, -2.60728, 0.0355386, 2.66676, -0.994032, 1.62108, -2.05431, 0.546167, -3.14159, -0.546167
12.5976, 0, 2.62961, -1.03026, 1.58512, -2.09542, 0.480698, 3.00542, -0.863939, 1.33342, -2.86954, -0.537365, 2.10167, -1.20308, 2.06396, -1.1652, 1.6257, -1.99782, 0.59008, -3.14159, -0.59008
